,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,WeightCategory,Acceleration,ModelYear,ModelYearAbbr,Origin
5,Torino,Ford,17,8,302,140,3449,3000,10.5,1970,70,American
6,Galaxie 500,Ford,15,8,429,198,4341,4000,10,1970,70,American
21,Corona Mark Ii,Toyota,24,4,113,95,2372,2000,15,1970,70,Japanese
24,Maverick,Ford,21,6,200,85,2587,2000,16,1970,70,American
30,2002,BMW,26,4,121,113,2234,2000,12.5,1970,70,European
32,F250,Ford,10,8,360,215,4615,4000,14,1970,70,American
38,Corona,Toyota,25,4,113,95,2228,2000,14,1971,71,Japanese
44,Torino 500,Ford,19,6,250,88,3302,3000,15.5,1971,71,American
48,Galaxie 500,Ford,14,8,351,153,4154,4000,13.5,1971,71,American
51,Country Squire (Sw),Ford,13,8,400,170,4746,4000,12,1971,71,American
56,Mustang,Ford,18,6,250,88,3139,3000,14.5,1971,71,American
61,Corolla 1200,Toyota,31,4,71,65,1773,1000,19,1971,71,Japanese
65,Corona Hardtop,Toyota,24,4,113,95,2278,2000,15.5,1972,72,Japanese
69,Pinto Runabout,Ford,21,4,122,86,2226,2000,16.5,1972,72,American
73,Galaxie 500,Ford,14,8,351,153,4129,4000,13,1972,72,American
82,Gran Torino (Sw),Ford,13,8,302,140,4294,4000,16,1972,72,American
88,Pinto (Sw),Ford,22,4,122,86,2395,2000,16,1972,72,American
90,Corona Mark Ii (Sw),Toyota,23,4,120,97,2506,2000,14.5,1972,72,Japanese
92,Corolla 1600 (Sw),Toyota,27,4,97,88,2100,2000,16.5,1972,72,Japanese
96,Gran Torino,Ford,14,8,302,137,4042,4000,14.5,1973,73,American
100,Ltd,Ford,13,8,351,158,4363,4000,13,1973,73,American
108,Maverick,Ford,18,6,250,88,3021,3000,16.5,1973,73,American
112,Country,Ford,12,8,400,167,4906,4000,12.5,1973,73,American
116,Carina,Toyota,20,4,97,88,2279,2000,19,1973,73,Japanese
120,Pinto,Ford,19,4,122,85,2310,2000,18.5,1973,73,American
131,Mark Ii,Toyota,20,6,156,122,2807,2000,13.5,1973,73,Japanese
138,Pinto,Ford,26,4,122,80,2451,2000,16.5,1974,74,American
139,Corolla 1200,Toyota,32,4,71,65,1836,1000,21,1974,74,Japanese
144,Gran Torino,Ford,16,8,302,140,4141,4000,14,1974,74,American
147,Gran Torino (Sw),Ford,14,8,302,140,4638,4000,16,1974,74,American
152,Corona,Toyota,31,4,76,52,1649,1000,16.5,1974,74,Japanese
157,Civic,Honda,24,4,120,97,2489,2000,15,1974,74,Japanese
163,Maverick,Ford,15,6,250,72,3158,3000,19.5,1975,75,American
167,Ltd,Ford,14,8,351,148,4657,4000,13.5,1975,75,American
174,Mustang Ii,Ford,13,8,302,129,3169,3000,12,1975,75,American
175,Corolla,Toyota,29,4,97,75,2171,2000,16,1975,75,Japanese
176,Pinto,Ford,23,4,140,83,2639,2000,17,1975,75,American
179,Corona,Toyota,24,4,134,96,2702,2000,13.5,1975,75,Japanese
182,Pinto,Ford,18,6,171,97,2984,2000,14.5,1975,75,American
