Manufacturer,Weight,MPG,ford,x,y,s,toyota,x,y,s,bmw,x,y,s,honda,x,y,s,mercedes,x,y,s
bmw,2234,26,,3449,17,172450,,2372,24,118600,,2234,17,111700,,2489,24,124450,,3820,16.5,191000
bmw,2600,21.5,,4341,15,217050,,2228,25,111400,,2600,15,130000,,1795,33,89750,,3530,25.4,176500
ford,3449,17,,2587,21,129350,,1773,31,88650,,,,,,1795,33,89750,,3250,30,162500
ford,4341,15,,4615,10,230750,,2278,24,113900,,,,,,2045,31.5,102250,,,,
ford,2587,21,,2046,25,102300,,2506,23,125300,,,,,,1800,36.1,90000,,,,
ford,4615,10,,3302,19,165100,,2100,27,105000,,,,,,2135,29.5,106750,,,,
ford,2046,25,,4154,14,207700,,2279,20,113950,,,,,,1850,44.6,92500,,,,
ford,3302,19,,4746,13,237300,,2807,20,140350,,,,,,2290,32.4,114500,,,,
ford,4154,14,,3139,18,156950,,1836,32,91800,,,,,,1760,35.1,88000,,,,
ford,4746,13,,2226,21,111300,,1649,31,82450,,,,,,2210,33.7,110500,,,,
ford,3139,18,,4129,14,206450,,2171,29,108550,,,,,,2205,36,110250,,,,
ford,2226,21,,4294,13,214700,,2702,24,135100,,,,,,1965,38,98250,,,,
ford,4129,14,,2395,22,119750,,2155,28,107750,,,,,,1965,32,98250,,,,
ford,4294,13,,4042,14,202100,,2930,19,146500,,,,,,,,,,,,
ford,2395,22,,4363,13,218150,,2265,26,113250,,,,,,,,,,,,
ford,4042,14,,3021,18,151050,,2560,27.5,128000,,,,,,,,,,,,
ford,4363,13,,4906,12,245300,,2515,21.1,125750,,,,,,,,,,,,
ford,3021,18,,2310,19,115500,,1968,38.1,98400,,,,,,,,,,,,
ford,4906,12,,2875,21,143750,,2711,29.8,135550,,,,,,,,,,,,
ford,2310,19,,2451,26,122550,,2265,32.2,113250,,,,,,,,,,,,
ford,2875,21,,4141,16,207050,,1755,39.1,87750,,,,,,,,,,,,
ford,2451,26,,4638,14,231900,,2050,37.7,102500,,,,,,,,,,,,
ford,4141,16,,3158,15,157900,,2350,32.4,117500,,,,,,,,,,,,
