Manufacturer,MPG,Weight
ford,17,3449
ford,15,4341
ford,14.3736842105263,4034
ford,20.2611111111111,3353
toyota,24,2372
ford,21,2587
bmw,26,2234
ford,10,4615
toyota,25,2228
ford,25,2046
ford,19,3302
ford,14,4154
ford,13,4746
ford,18,3139
toyota,31,1773
toyota,24,2278
ford,21,2226
ford,14,4129
ford,13,4294
ford,22,2395
toyota,23,2506
toyota,27,2100
ford,14,4042
ford,13,4363
ford,18,3021
ford,12,4906
toyota,20,2279
ford,19,2310
toyota,20,2807
ford,21,2875
ford,26,2451
toyota,32,1836
ford,16,4141
ford,14,4638
toyota,31,1649
honda,24,2489
ford,15,3158
ford,14,4657
ford,13,3169
toyota,29,2171
ford,23,2639
toyota,24,2702
ford,18,2984
honda,33,1795
ford,14.5,4215
ford,24,3012
honda,33,1795
ford,18,3574
toyota,28,2155
ford,26.5,2565
toyota,19,2930
mercedes,16.5,3820
ford,13,3870
honda,31.5,2045
ford,18.5,3525
ford,16,4335
toyota,26,2265
ford,25.5,2755
bmw,21.5,2600
ford,36.1,1800
honda,36.1,1800
ford,20.2,2965
ford,25.1,2720
ford,18.1,3205
toyota,27.5,2560
toyota,21.1,2515
honda,29.5,2135
ford,22.3,2890
ford,17.6,3725
ford,15.5,4054
mercedes,25.4,3530
toyota,38.1,1968
ford,26.4,2870
toyota,29.8,2711
toyota,32.2,2265
mercedes,30,3250
honda,44.6,1850
ford,23.6,2905
honda,32.4,2290
toyota,39.1,1755
honda,35.1,1760
toyota,37.7,2050
ford,34.4,2045
ford,29.9,2380
honda,33.7,2210
toyota,32.4,2350
toyota,25.4,2900
ford,20.2,3060
ford,24,2865
honda,36,2205
toyota,34,2245
honda,38,1965
honda,32,1965
ford,22,2835
toyota,32,2665
ford,27,2790
ford,28,2625
